id,time,group,weight
1,0,A,233
1,14,A,224
1,28,A,245
1,42,A,258
1,56,A,271
1,70,A,287
1,84,A,287
1,98,A,287
1,112,A,290
1,126,A,293
1,133,A,297
2,0,A,231
2,14,A,238
2,28,A,260
2,42,A,273
2,56,A,290
2,70,A,300
2,84,A,311
2,98,A,313
2,112,A,317
2,126,A,321
2,133,A,326
3,0,A,232
3,14,A,237
3,28,A,245
3,42,A,265
3,56,A,285
3,70,A,298
3,84,A,304
3,98,A,319
3,112,A,317
3,126,A,334
3,133,A,329
4,0,A,239
4,14,A,246
4,28,A,268
4,42,A,288
4,56,A,308
4,70,A,309
4,84,A,327
4,98,A,324
4,112,A,327
4,126,A,336
4,133,A,341
5,0,A,215
5,14,A,216
5,28,A,239
5,42,A,264
5,56,A,282
5,70,A,299
5,84,A,307
5,98,A,321
5,112,A,328
5,126,A,332
5,133,A,337
6,0,A,236
6,14,A,226
6,28,A,242
6,42,A,255
6,56,A,263
6,70,A,277
6,84,A,290
6,98,A,299
6,112,A,300
6,126,A,308
6,133,A,310
7,0,A,219
7,14,A,229
7,28,A,246
7,42,A,265
7,56,A,279
7,70,A,292
7,84,A,299
7,98,A,299
7,112,A,298
7,126,A,300
7,133,A,290
8,0,A,231
8,14,A,245
8,28,A,270
8,42,A,292
8,56,A,302
8,70,A,321
8,84,A,322
8,98,A,334
8,112,A,323
8,126,A,337
8,133,A,337
9,0,A,230
9,14,A,228
9,28,A,243
9,42,A,255
9,56,A,272
9,70,A,276
9,84,A,277
9,98,A,289
9,112,A,289
9,126,A,300
9,133,A,303
10,0,A,232
10,14,A,240
10,28,A,247
10,42,A,263
10,56,A,275
10,70,A,286
10,84,A,294
10,98,A,302
10,112,A,308
10,126,A,319
10,133,A,326
11,0,A,234
11,14,A,237
11,28,A,259
11,42,A,289
11,56,A,311
11,70,A,324
11,84,A,342
11,98,A,347
11,112,A,355
11,126,A,368
11,133,A,368
12,0,A,237
12,14,A,235
12,28,A,258
12,42,A,263
12,56,A,282
12,70,A,304
12,84,A,318
12,98,A,327
12,112,A,336
12,126,A,349
12,133,A,353
13,0,A,229
13,14,A,234
13,28,A,254
13,42,A,276
13,56,A,294
13,70,A,315
13,84,A,323
13,98,A,341
13,112,A,346
13,126,A,352
13,133,A,357
14,0,A,220
14,14,A,227
14,28,A,248
14,42,A,273
14,56,A,290
14,70,A,308
14,84,A,322
14,98,A,326
14,112,A,330
14,126,A,342
14,133,A,343
15,0,A,232
15,14,A,241
15,28,A,255
15,42,A,276
15,56,A,293
15,70,A,309
15,84,A,310
15,98,A,330
15,112,A,326
15,126,A,329
15,133,A,330
16,0,A,210
16,14,A,225
16,28,A,242
16,42,A,260
16,56,A,272
16,70,A,277
16,84,A,273
16,98,A,295
16,112,A,292
16,126,A,305
16,133,A,306
17,0,A,229
17,14,A,241
17,28,A,252
17,42,A,265
17,56,A,274
17,70,A,285
17,84,A,303
17,98,A,308
17,112,A,315
17,126,A,328
17,133,A,328
18,0,A,204
18,14,A,198
18,28,A,217
18,42,A,233
18,56,A,251
18,70,A,258
18,84,A,272
18,98,A,283
18,112,A,279
18,126,A,295
18,133,A,298
19,0,A,220
19,14,A,221
19,28,A,236
19,42,A,260
19,56,A,274
19,70,A,295
19,84,A,300
19,98,A,301
19,112,A,310
19,126,A,318
19,133,A,316
20,0,A,233
20,14,A,234
20,28,A,250
20,42,A,268
20,56,A,280
20,70,A,298
20,84,A,308
20,98,A,319
20,112,A,318
20,126,A,336
20,133,A,333
21,0,A,234
21,14,A,234
21,28,A,254
21,42,A,274
21,56,A,294
21,70,A,306
21,84,A,318
21,98,A,334
21,112,A,343
21,126,A,349
21,133,A,350
22,0,A,200
22,14,A,207
22,28,A,217
22,42,A,238
22,56,A,252
22,70,A,267
22,84,A,284
22,98,A,282
22,112,A,282
22,126,A,284
22,133,A,288
23,0,A,220
23,14,A,213
23,28,A,229
23,42,A,252
23,56,A,254
23,70,A,273
23,84,A,293
23,98,A,289
23,112,A,294
23,126,A,292
23,133,A,298
24,0,A,225
24,14,A,239
24,28,A,254
24,42,A,269
24,56,A,289
24,70,A,308
24,84,A,313
24,98,A,324
24,112,A,327
24,126,A,347
24,133,A,344
25,0,A,236
25,14,A,245
25,28,A,257
25,42,A,271
25,56,A,294
25,70,A,307
25,84,A,317
25,98,A,327
25,112,A,328
25,126,A,328
25,133,A,325
26,0,A,231
26,14,A,231
26,28,A,237
26,42,A,261
26,56,A,274
26,70,A,285
26,84,A,291
26,98,A,301
26,112,A,307
26,126,A,315
26,133,A,320
27,0,A,208
27,14,A,211
27,28,A,238
27,42,A,254
27,56,A,267
27,70,A,287
27,84,A,306
27,98,A,312
27,112,A,320
27,126,A,337
27,133,A,338
28,0,A,232
28,14,A,248
28,28,A,261
28,42,A,285
28,56,A,292
28,70,A,307
28,84,A,312
28,98,A,323
28,112,A,318
28,126,A,328
28,133,A,329
29,0,A,233
29,14,A,241
29,28,A,252
29,42,A,273
29,56,A,301
29,70,A,316
29,84,A,332
29,98,A,336
29,112,A,339
29,126,A,348
29,133,A,345
30,0,A,221
30,14,A,219
30,28,A,231
30,42,A,251
30,56,A,270
30,70,A,272
30,84,A,287
30,98,A,294
30,112,A,292
30,126,A,292
30,133,A,299
31,0,B,210
31,14,B,215
31,28,B,230
31,42,B,244
31,56,B,259
31,70,B,266
31,84,B,277
31,98,B,292
31,112,B,292
31,126,B,290
31,133,B,264
32,0,B,230
32,14,B,240
32,28,B,258
32,42,B,277
32,56,B,277
32,70,B,293
32,84,B,300
32,98,B,323
32,112,B,327
32,126,B,340
32,133,B,343
33,0,B,226
33,14,B,233
33,28,B,248
33,42,B,277
33,56,B,297
33,70,B,313
33,84,B,322
33,98,B,340
33,112,B,354
33,126,B,365
33,133,B,362
34,0,B,233
34,14,B,239
34,28,B,253
34,42,B,277
34,56,B,292
34,70,B,310
34,84,B,318
34,98,B,333
34,112,B,336
34,126,B,353
34,133,B,338
35,0,B,238
35,14,B,241
35,28,B,262
35,42,B,282
35,56,B,300
35,70,B,314
35,84,B,319
35,98,B,331
35,112,B,338
35,126,B,348
35,133,B,338
36,0,B,225
36,14,B,228
36,28,B,237
36,42,B,261
36,56,B,271
36,70,B,288
36,84,B,300
36,98,B,316
36,112,B,319
36,126,B,333
36,133,B,330
37,0,B,224
37,14,B,225
37,28,B,239
37,42,B,257
37,56,B,268
37,70,B,290
37,84,B,304
37,98,B,313
37,112,B,310
37,126,B,318
37,133,B,318
38,0,B,237
38,14,B,241
38,28,B,255
38,42,B,276
38,56,B,293
38,70,B,307
38,84,B,312
38,98,B,336
38,112,B,336
38,126,B,344
38,133,B,328
39,0,B,237
39,14,B,224
39,28,B,234
39,42,B,239
39,56,B,256
39,70,B,266
39,84,B,276
39,98,B,300
39,112,B,302
39,126,B,293
39,133,B,269
40,0,B,233
40,14,B,239
40,28,B,259
40,42,B,283
40,56,B,294
40,70,B,313
40,84,B,320
40,98,B,347
40,112,B,348
40,126,B,362
40,133,B,352
41,0,B,217
41,14,B,222
41,28,B,235
41,42,B,256
41,56,B,267
41,70,B,285
41,84,B,295
41,98,B,317
41,112,B,315
41,126,B,308
41,133,B,301
42,0,B,228
42,14,B,223
42,28,B,246
42,42,B,266
42,56,B,277
42,70,B,287
42,84,B,300
42,98,B,312
42,112,B,308
42,126,B,328
42,133,B,333
43,0,B,241
43,14,B,247
43,28,B,268
43,42,B,290
43,56,B,309
43,70,B,323
43,84,B,336
43,98,B,348
43,112,B,359
43,126,B,372
43,133,B,370
44,0,B,221
44,14,B,221
44,28,B,240
44,42,B,253
44,56,B,273
44,70,B,282
44,84,B,292
44,98,B,307
44,112,B,306
44,126,B,317
44,133,B,318
45,0,B,217
45,14,B,220
45,28,B,235
45,42,B,259
45,56,B,262
45,70,B,276
45,84,B,284
45,98,B,305
45,112,B,303
45,126,B,315
45,133,B,317
46,0,B,214
46,14,B,221
46,28,B,237
46,42,B,256
46,56,B,271
46,70,B,283
46,84,B,287
46,98,B,314
46,112,B,316
46,126,B,320
46,133,B,298
47,0,B,224
47,14,B,231
47,28,B,241
47,42,B,256
47,56,B,265
47,70,B,283
47,84,B,295
47,98,B,314
47,112,B,313
47,126,B,328
47,133,B,334
48,0,B,200
48,14,B,203
48,28,B,221
48,42,B,236
48,56,B,248
48,70,B,262
48,84,B,276
48,98,B,294
48,112,B,291
48,126,B,311
48,133,B,310
49,0,B,238
49,14,B,232
49,28,B,252
49,42,B,268
49,56,B,285
49,70,B,298
49,84,B,303
49,98,B,320
49,112,B,324
49,126,B,320
49,133,B,327
50,0,B,230
50,14,B,222
50,28,B,243
50,42,B,253
50,56,B,268
50,70,B,284
50,84,B,290
50,98,B,316
50,112,B,314
50,126,B,330
50,133,B,330
51,0,B,217
51,14,B,224
51,28,B,242
51,42,B,265
51,56,B,284
51,70,B,302
51,84,B,309
51,98,B,324
51,112,B,328
51,126,B,338
51,133,B,334
52,0,B,209
52,14,B,209
52,28,B,221
52,42,B,238
52,56,B,256
52,70,B,267
52,84,B,281
52,98,B,295
52,112,B,301
52,126,B,309
52,133,B,289
53,0,B,224
53,14,B,227
53,28,B,245
53,42,B,267
53,56,B,279
53,70,B,294
53,84,B,312
53,98,B,328
53,112,B,329
53,126,B,297
53,133,B,297
54,0,B,230
54,14,B,231
54,28,B,244
54,42,B,261
54,56,B,272
54,70,B,283
54,84,B,294
54,98,B,318
54,112,B,320
54,126,B,333
54,133,B,338
55,0,B,216
55,14,B,218
55,28,B,223
55,42,B,243
55,56,B,259
55,70,B,270
55,84,B,270
55,98,B,290
55,112,B,301
55,126,B,314
55,133,B,297
56,0,B,231
56,14,B,239
56,28,B,254
56,42,B,276
56,56,B,294
56,70,B,304
56,84,B,317
56,98,B,335
56,112,B,333
56,126,B,319
56,133,B,307
57,0,B,207
57,14,B,216
57,28,B,228
57,42,B,255
57,56,B,275
57,70,B,285
57,84,B,296
57,98,B,314
57,112,B,319
57,126,B,330
57,133,B,330
58,0,B,227
58,14,B,236
58,28,B,251
58,42,B,264
58,56,B,276
58,70,B,287
58,84,B,297
58,98,B,315
58,112,B,309
58,126,B,313
58,133,B,294
59,0,B,221
59,14,B,232
59,28,B,251
59,42,B,274
59,56,B,284
59,70,B,295
59,84,B,300
59,98,B,323
59,112,B,319
59,126,B,333
59,133,B,322
60,0,B,233
60,14,B,238
60,28,B,254
60,42,B,266
60,56,B,282
60,70,B,294
60,84,B,295
60,98,B,310
60,112,B,320
60,126,B,327
60,133,B,326
